,CARD_SIDO_NM,AGE,sex_age_population,SEX_CTGO_CD
0,제주,20s,"43,152",1
1,서울,20s,"708,309",1
2,부산,20s,"226,598",1
3,대구,20s,"172,592",1
4,인천,20s,"210,732",1
5,광주,20s,"108,166",1
6,대전,20s,"111,224",1
7,울산,20s,"82,384",1
8,세종,20s,"18,371",1
9,경기,20s,"931,276",1
10,강원,20s,"100,115",1
11,충북,20s,"109,948",1
12,충남,20s,"133,530",1
13,전북,20s,"113,943",1
14,전남,20s,"111,969",1
15,경북,20s,"162,456",1
16,경남,20s,"211,964",1
17,제주,30s,"42,278",1
18,서울,30s,"742,870",1
19,부산,30s,"217,941",1
20,대구,30s,"155,408",1
21,인천,30s,"212,735",1
22,광주,30s,"96,262",1
23,대전,30s,"102,224",1
24,울산,30s,"82,765",1
25,세종,30s,"29,818",1
26,경기,30s,"977,869",1
27,강원,30s,"87,669",1
28,충북,30s,"103,826",1
29,충남,30s,"146,821",1
30,전북,30s,"99,748",1
31,전남,30s,"100,527",1
32,경북,30s,"159,400",1
33,경남,30s,"215,797",1
34,제주,40s,"57,867",1
35,서울,40s,"756,706",1
36,부산,40s,"256,450",1
37,대구,40s,"190,600",1
38,인천,40s,"246,360",1
39,광주,40s,"120,278",1
40,대전,40s,"119,063",1
41,울산,40s,"95,711",1
42,세종,40s,"33,758",1
43,경기,40s,"1,153,073",1
44,강원,40s,"115,861",1
45,충북,40s,"124,924",1
46,충남,40s,"173,768",1
47,전북,40s,"140,157",1
48,전남,40s,"140,378",1
49,경북,40s,"201,391",1
50,경남,40s,"277,194",1
51,제주,50s,"57,262",1
52,서울,50s,"733,576",1
53,부산,50s,"275,969",1
54,대구,50s,"207,180",1
55,인천,50s,"253,334",1
56,광주,50s,"114,688",1
57,대전,50s,"119,193",1
58,울산,50s,"106,761",1
59,세종,50s,"22,164",1
60,경기,50s,"1,103,239",1
61,강원,50s,"136,334",1
62,충북,50s,"139,256",1
63,충남,50s,"177,024",1
64,전북,50s,"154,671",1
65,전남,50s,"167,657",1
66,경북,50s,"237,152",1
67,경남,50s,"295,213",1
68,제주,60s,"36,950",1
69,서울,60s,"554,890",1
70,부산,60s,"240,502",1
71,대구,60s,"147,659",1
72,인천,60s,"169,942",1
73,광주,60s,"73,694",1
74,대전,60s,"82,589",1
75,울산,60s,"68,942",1
76,세종,60s,"13,813",1
77,경기,60s,"703,738",1
78,강원,60s,"112,366",1
79,충북,60s,"104,968",1
80,충남,60s,"131,277",1
81,전북,60s,"120,418",1
82,전남,60s,"129,811",1
83,경북,60s,"192,374",1
84,경남,60s,"216,114",1
85,제주,70s,"19,882",1
86,서울,70s,"307,073",1
87,부산,70s,"127,450",1
88,대구,70s,"74,159",1
89,인천,70s,"77,527",1
90,광주,70s,"40,027",1
91,대전,70s,"39,914",1
92,울산,70s,"26,989",1
93,세종,70s,"6,174",1
94,경기,70s,"333,661",1
95,강원,70s,"60,017",1
96,충북,70s,"52,971",1
97,충남,70s,"75,042",1
98,전북,70s,"72,229",1
99,전남,70s,"82,344",1
100,경북,70s,"104,830",1
101,경남,70s,"104,819",1
102,제주,20s,"38,428",2
103,서울,20s,"742,605",2
104,부산,20s,"206,914",2
105,대구,20s,"148,919",2
106,인천,20s,"192,927",2
107,광주,20s,"99,035",2
108,대전,20s,"100,196",2
109,울산,20s,"64,677",2
110,세종,20s,"17,952",2
111,경기,20s,"839,952",2
112,강원,20s,"78,526",2
113,충북,20s,"88,079",2
114,충남,20s,"109,070",2
115,전북,20s,"97,503",2
116,전남,20s,"89,581",2
117,경북,20s,"125,882",2
118,경남,20s,"170,711",2
119,제주,30s,"41,095",2
120,서울,30s,"742,159",2
121,부산,30s,"208,720",2
122,대구,30s,"145,088",2
123,인천,30s,"199,530",2
124,광주,30s,"93,157",2
125,대전,30s,"94,738",2
126,울산,30s,"73,873",2
127,세종,30s,"31,417",2
128,경기,30s,"925,000",2
129,강원,30s,"79,969",2
130,충북,30s,"92,841",2
131,충남,30s,"126,696",2
132,전북,30s,"93,732",2
133,전남,30s,"90,202",2
134,경북,30s,"140,017",2
135,경남,30s,"197,939",2
136,제주,40s,"53,979",2
137,서울,40s,"771,783",2
138,부산,40s,"253,794",2
139,대구,40s,"196,271",2
140,인천,40s,"236,861",2
141,광주,40s,"122,297",2
142,대전,40s,"120,134",2
143,울산,40s,"93,016",2
144,세종,40s,"31,952",2
145,경기,40s,"1,119,740",2
146,강원,40s,"108,783",2
147,충북,40s,"116,155",2
148,충남,40s,"152,381",2
149,전북,40s,"130,963",2
150,전남,40s,"121,358",2
151,경북,40s,"184,332",2
152,경남,40s,"260,649",2
153,제주,50s,"52,587",2
154,서울,50s,"766,194",2
155,부산,50s,"294,905",2
156,대구,50s,"216,982",2
157,인천,50s,"254,614",2
158,광주,50s,"117,142",2
159,대전,50s,"121,037",2
160,울산,50s,"102,903",2
161,세종,50s,"20,682",2
162,경기,50s,"1,076,074",2
163,강원,50s,"129,540",2
164,충북,50s,"131,806",2
165,충남,50s,"159,467",2
166,전북,50s,"145,086",2
167,전남,50s,"146,018",2
168,경북,50s,"222,010",2
169,경남,50s,"284,485",2
170,제주,60s,"37,406",2
171,서울,60s,"619,207",2
172,부산,60s,"265,830",2
173,대구,60s,"162,471",2
174,인천,60s,"173,141",2
175,광주,60s,"81,000",2
176,대전,60s,"87,302",2
177,울산,60s,"67,588",2
178,세종,60s,"14,022",2
179,경기,60s,"713,168",2
180,강원,60s,"113,454",2
181,충북,60s,"104,885",2
182,충남,60s,"132,263",2
183,전북,60s,"123,702",2
184,전남,60s,"128,649",2
185,경북,60s,"196,060",2
186,경남,60s,"218,619",2
187,제주,70s,"24,251",2
188,서울,70s,"365,565",2
189,부산,70s,"155,714",2
190,대구,70s,"96,425",2
191,인천,70s,"93,569",2
192,광주,70s,"50,470",2
193,대전,70s,"48,260",2
194,울산,70s,"30,344",2
195,세종,70s,"7,389",2
196,경기,70s,"403,905",2
197,강원,70s,"74,378",2
198,충북,70s,"65,436",2
199,충남,70s,"91,625",2
200,전북,70s,"92,709",2
201,전남,70s,"107,893",2
202,경북,70s,"132,811",2
203,경남,70s,"134,638",2
