거주자 성별 연령,년월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
남 80s,201908,"91,901","35,767","24,150","23,574","12,546","13,195","6,446","2,137","110,758","22,295","20,442","32,946","28,435","31,635","40,616","35,074","7,113"
여 20s,201908,"738,003","208,171","150,226","194,088","98,939","100,633","66,269","17,512","832,901","79,264","89,031","110,782","98,669","91,238","128,890","173,667","38,628"
여 30s,201908,"752,200","214,292","149,698","204,193","96,165","97,769","76,291","30,963","936,133","81,565","94,809","130,716","96,879","92,840","144,876","204,787","42,066"
여 40s,201908,"775,421","255,312","198,871","237,827","122,658","121,388","94,049","30,069","1,114,336","109,708","116,534","152,032","132,043","122,395","186,158","262,174","54,018"
여 50s,201908,"772,997","299,718","218,101","255,560","116,936","122,072","102,888","19,720","1,066,196","131,622","132,505","160,954","146,874","147,497","225,154","284,389","52,191"
여 60s,201908,"600,140","257,904","155,873","164,264","77,919","83,689","64,302","13,136","675,001","107,729","100,351","127,371","119,862","124,806","188,507","210,036","36,032"
여 70s,201908,"358,507","152,718","95,327","92,272","49,670","47,391","29,675","7,189","396,819","75,157","65,689","91,482","92,374","109,221","133,115","134,016","24,165"
여 80s,201908,"152,697","67,105","46,076","47,233","24,017","24,461","14,049","4,346","202,320","42,697","40,725","61,991","58,029","71,374","85,271","80,407","15,065"
남 20s,201909,"711,486","229,369","175,184","212,334","108,689","112,227","83,631","18,012","924,428","100,279","110,561","134,354","115,020","111,218","165,271","214,145","43,204"
남 30s,201909,"750,586","223,093","158,385","216,494","98,189","103,778","84,734","29,572","984,639","88,932","105,206","149,932","102,456","102,660","163,453","221,589","43,175"
남 40s,201909,"759,641","257,024","192,728","246,059","120,539","120,097","95,807","32,293","1,146,873","116,929","125,375","173,422","141,606","141,696","203,077","277,623","58,272"
남 50s,201909,"736,297","278,940","208,012","254,807","114,221","119,845","107,353","21,370","1,096,366","137,618","139,713","177,832","155,502","167,841","238,771","295,398","56,801"
남 60s,201909,"541,270","235,037","142,971","162,502","71,349","79,828","66,136","12,935","669,248","107,138","100,841","126,670","117,220","126,232","185,787","208,210","35,623"
남 70s,201909,"302,183","125,084","72,698","75,818","39,330","38,992","26,182","5,948","326,656","60,275","52,638","73,698","70,887","81,813","103,426","102,450","19,798"
남 80s,201909,"92,734","36,089","24,380","23,813","12,642","13,289","6,510","2,159","111,735","22,488","20,605","33,099","28,638","31,844","40,874","35,234","7,165"
여 20s,201909,"738,409","207,921","150,019","193,836","99,180","100,550","66,047","17,568","833,728","79,321","88,921","110,703","98,624","90,979","128,604","173,337","38,583"
여 30s,201909,"750,911","213,657","149,212","203,921","95,863","97,486","76,161","31,094","935,470","81,357","94,660","130,400","96,583","92,556","144,466","204,176","41,979"
여 40s,201909,"774,205","255,036","198,515","237,296","122,550","121,102","93,872","30,217","1,113,695","109,554","116,305","151,831","131,734","122,092","185,867","261,617","53,949"
여 50s,201909,"772,394","299,080","217,976","255,667","116,923","122,165","102,922","19,925","1,068,446","131,558","132,546","160,996","146,706","147,283","224,906","284,686","52,199"
여 60s,201909,"602,051","258,801","156,585","165,297","78,339","84,098","64,681","13,212","679,386","108,251","100,934","127,779","120,287","125,264","189,287","210,958","36,268"
여 70s,201909,"359,619","153,247","95,433","92,509","49,824","47,474","29,792","7,228","397,888","75,096","65,627","91,522","92,468","109,272","133,183","134,155","24,187"
여 80s,201909,"153,562","67,470","46,421","47,481","24,187","24,592","14,117","4,376","203,530","42,902","40,954","62,252","58,272","71,576","85,634","80,718","15,085"
남 20s,201910,"710,198","228,845","174,760","212,233","108,696","111,971","83,458","18,152","925,499","100,542","110,666","134,312","114,980","111,394","165,225","214,151","43,229"
남 30s,201910,"749,195","222,217","158,000","215,910","97,944","103,597","84,403","29,685","983,587","88,730","105,020","149,498","102,056","102,219","162,879","220,652","43,012"
남 40s,201910,"758,641","256,844","192,285","246,145","120,466","119,836","95,763","32,533","1,147,015","116,684","125,182","173,338","141,305","141,392","202,821","277,630","58,155"
남 50s,201910,"735,891","278,549","207,940","254,735","114,274","119,899","107,263","21,602","1,097,880","137,456","139,694","177,974","155,386","167,682","238,643","295,507","56,850"
남 60s,201910,"543,394","235,839","143,673","163,540","71,746","80,220","66,556","13,102","674,500","107,890","101,454","127,208","117,726","126,841","186,873","209,428","35,891"
남 70s,201910,"302,900","125,601","72,852","76,092","39,456","39,102","26,338","5,971","327,790","60,208","52,672","73,898","71,035","82,041","103,585","102,779","19,835"
남 80s,201910,"93,595","36,326","24,553","23,983","12,714","13,375","6,565","2,168","112,611","22,701","20,728","33,278","28,797","31,968","41,099","35,390","7,217"
여 20s,201910,"737,998","207,450","149,869","193,826","99,244","100,571","65,932","17,700","834,412","79,429","88,845","110,678","98,580","90,873","128,567","173,318","38,638"
여 30s,201910,"749,402","212,910","148,568","203,376","95,400","97,265","75,838","31,238","934,082","81,195","94,411","129,971","96,251","92,277","143,930","203,316","41,806"
여 40s,201910,"773,398","254,660","198,219","237,080","122,407","120,796","93,668","30,528","1,113,778","109,322","116,171","151,731","131,471","121,796","185,606","261,491","53,965"
여 50s,201910,"771,749","298,645","217,860","255,674","116,973","122,114","102,979","20,105","1,070,318","131,325","132,673","160,988","146,548","147,001","224,601","284,765","52,242"
여 60s,201910,"604,586","259,787","157,423","166,495","78,794","84,518","65,143","13,365","684,322","108,971","101,491","128,406","120,775","125,916","190,309","211,950","36,497"
여 70s,201910,"360,603","153,740","95,598","92,701","50,068","47,545","29,893","7,266","398,828","74,948","65,696","91,507","92,573","109,240","133,125","134,381","24,207"
여 80s,201910,"154,244","67,817","46,677","47,697","24,282","24,713","14,221","4,417","204,691","43,132","41,047","62,451","58,411","71,738","85,973","80,945","15,141"
남 20s,201911,"709,290","228,367","174,355","212,090","108,678","111,671","83,376","18,269","925,601","100,903","110,730","134,289","114,921","111,915","165,077","213,942","43,245"
남 30s,201911,"747,891","221,308","157,469","215,428","97,607","103,229","84,061","29,815","982,518","88,525","104,905","149,008","101,692","102,015","162,340","219,739","42,909"
남 40s,201911,"758,126","256,863","192,194","246,416","120,369","119,753","95,827","32,808","1,147,867","116,572","125,098","173,316","140,987","141,233","202,712","277,644","58,124"
남 50s,201911,"735,363","278,179","207,740","254,542","114,321","119,836","107,209","21,727","1,099,064","137,261","139,608","178,033","155,280","167,703","238,649","295,452","56,879"
남 60s,201911,"545,458","236,709","144,372","164,699","72,066","80,602","67,010","13,301","679,596","108,793","102,181","127,856","118,324","127,469","187,944","210,675","36,134"
남 70s,201911,"303,419","125,897","72,967","76,212","39,611","39,134","26,398","5,998","328,484","60,125","52,685","73,941","71,134","82,159","103,741","103,155","19,853"
남 80s,201911,"94,275","36,632","24,713","24,191","12,793","13,467","6,606","2,198","113,614","22,873","20,882","33,420","28,963","32,088","41,352","35,590","7,243"
여 20s,201911,"737,783","207,078","149,593","193,718","99,219","100,460","65,780","17,816","834,920","79,371","88,782","110,601","98,603","90,998","128,687","173,272","38,675"
여 30s,201911,"747,807","212,136","147,791","202,881","95,012","96,817","75,476","31,331","932,093","80,957","94,219","129,468","95,820","91,901","143,243","202,247","41,621"
여 40s,201911,"773,310","254,506","198,065","237,172","122,434","120,624","93,694","30,824","1,114,821","109,281","116,073","151,717","131,224","121,919","185,466","261,646","54,002"
여 50s,201911,"770,873","298,155","217,740","255,675","116,944","122,083","102,944","20,265","1,071,974","131,057","132,646","161,022","146,538","146,968","224,483","284,773","52,272"
여 60s,201911,"607,027","260,868","158,225","167,554","79,188","84,893","65,558","13,509","689,128","109,798","102,200","129,044","121,279","126,426","191,444","213,131","36,695"
여 70s,201911,"361,274","154,035","95,602","92,784","50,239","47,659","29,992","7,291","399,629","74,862","65,537","91,469","92,607","109,212","132,926","134,413","24,214"
여 80s,201911,"154,936","68,143","47,018","47,911","24,344","24,823","14,250","4,464","205,747","43,315","41,197","62,628","58,663","71,798","86,248","81,208","15,199"
남 20s,201912,"708,635","227,772","173,577","211,901","108,064","111,600","83,332","18,324","927,123","101,093","110,737","134,408","114,715","113,025","165,057","213,680","43,263"
남 30s,201912,"746,416","220,268","156,659","214,920","97,066","102,770","83,647","29,906","980,917","88,298","104,705","148,401","101,184","102,030","161,808","218,765","42,778"
남 40s,201912,"757,851","256,731","191,852","246,596","120,233","119,650","95,832","33,079","1,149,908","116,502","125,158","173,524","140,788","141,335","202,607","277,510","58,014"
남 50s,201912,"733,348","277,254","206,720","253,867","114,147","119,425","106,963","21,823","1,098,007","136,888","139,476","177,528","154,861","167,878","237,661","295,422","56,989"
남 60s,201912,"547,984","237,779","145,697","166,042","72,446","81,163","67,568","13,401","685,471","109,671","102,823","128,807","119,037","128,093","189,936","212,135","36,306"
남 70s,201912,"303,946","126,121","73,201","76,416","39,702","39,212","26,520","6,037","329,166","60,068","52,694","74,136","71,315","82,260","103,851","103,513","19,853"
남 80s,201912,"95,210","37,038","24,948","24,413","12,877","13,612","6,695","2,222","114,734","23,103","21,053","33,591","29,112","32,264","41,688","35,945","7,289"
여 20s,201912,"737,524","206,550","148,903","193,483","98,792","100,191","65,433","17,965","835,162","79,312","88,725","110,406","98,360","91,186","128,466","172,887","38,592"
여 30s,201912,"746,579","211,408","147,122","202,337","94,612","96,224","75,154","31,390","931,047","80,872","94,014","129,042","95,369","91,876","142,701","201,304","41,541"
여 40s,201912,"773,185","254,236","197,661","237,311","122,275","120,465","93,489","31,124","1,116,522","109,241","116,249","151,841","131,239","122,164","185,319","261,258","54,012"
여 50s,201912,"768,555","297,018","216,591","255,256","116,856","121,664","102,882","20,380","1,071,224","130,429","132,353","160,409","145,969","147,015","223,309","284,937","52,264"
여 60s,201912,"610,348","262,311","159,963","168,841","79,563","85,581","66,143","13,643","695,229","110,831","102,972","130,023","121,896","127,101","193,676","214,629","36,936"
여 70s,201912,"362,020","154,397","95,577","92,978","50,332","47,731","30,058","7,311","400,317","74,676","65,462","91,344","92,577","109,080","132,824","134,413","24,224"
여 80s,201912,"155,937","68,591","47,363","48,135","24,369","24,953","14,353","4,498","206,957","43,568","41,445","62,867","58,855","71,900","86,803","81,705","15,230"
남 20s,202001,"708,039","227,217","173,067","211,489","108,273","111,463","82,996","18,390","927,297","100,772","110,526","134,129","114,471","112,557","164,189","213,258","43,269"
남 30s,202001,"745,366","219,345","156,329","214,024","96,782","102,553","83,316","29,905","978,838","88,122","104,431","148,017","100,711","101,428","160,989","217,794","42,597"
남 40s,202001,"758,669","256,830","191,661","246,876","120,267","119,615","95,881","33,360","1,151,870","116,386","125,287","173,691","140,650","140,974","202,374","277,870","58,010"
남 50s,202001,"733,753","276,859","206,942","253,785","114,485","119,503","106,924","21,905","1,099,744","136,693","139,384","177,405","154,974","167,730","237,601","295,304","57,084"
남 60s,202001,"550,226","238,737","146,136","167,309","72,866","81,512","67,997","13,547","690,908","110,429","103,373","129,472","119,378","128,633","190,614","213,248","36,523"
남 70s,202001,"305,228","126,499","73,538","76,897","39,875","39,501","26,687","6,111","330,924","60,024","52,853","74,482","71,640","82,377","104,128","103,992","19,853"
남 80s,202001,"96,250","37,517","25,287","24,607","12,972","13,689","6,796","2,237","115,715","23,340","21,200","33,736","29,324","32,501","42,077","36,300","7,375"
여 20s,202001,"738,966","206,620","149,022","193,526","99,131","100,348","65,283","18,014","836,202","79,215","88,660","110,067","98,232","90,764","127,954","172,604","38,657"
여 30s,202001,"744,984","210,259","146,261","201,177","94,120","95,704","74,639","31,380","927,520","80,596","93,551","128,138","94,817","91,153","141,725","200,215","41,307"
여 40s,202001,"774,021","254,230","197,329","237,478","122,222","120,491","93,422","31,480","1,118,631","109,246","116,392","152,201","131,282","121,887","185,334","261,467","53,981"
여 50s,202001,"768,188","296,336","216,719","255,101","117,094","121,487","102,908","20,484","1,072,453","130,229","132,073","160,192","145,727","146,583","222,879","284,791","52,380"
여 60s,202001,"613,108","263,221","160,513","170,112","79,969","86,064","66,538","13,752","700,512","111,482","103,566","130,615","122,407","127,523","194,312","215,769","37,092"
여 70s,202001,"363,609","154,874","95,882","93,193","50,402","47,927","30,192","7,353","401,657","74,557","65,539","91,504","92,601","108,763","132,837","134,430","24,217"
여 80s,202001,"157,075","69,097","47,710","48,376","24,531","24,997","14,439","4,523","208,218","43,832","41,546","63,114","59,083","72,138","87,277","82,150","15,253"
남 20s,202002,"706,426","226,413","172,011","210,720","108,018","111,130","82,497","18,318","925,720","100,280","109,978","133,519","113,932","112,108","163,227","212,306","43,199"
남 30s,202002,"744,844","218,634","155,775","213,450","96,559","102,459","83,074","29,846","978,195","87,959","104,220","147,444","100,275","100,924","160,314","216,864","42,406"
남 40s,202002,"759,488","257,177","191,247","246,988","120,436","119,499","95,857","33,636","1,154,441","116,256","125,328","174,094","140,665","140,995","202,243","277,924","57,984"
남 50s,202002,"734,021","276,450","206,975","253,531","114,624","119,401","106,844","22,035","1,101,429","136,507","139,312","177,249","154,837","167,725","237,541","295,312","57,193"
남 60s,202002,"552,606","239,600","146,788","168,700","73,197","82,058","68,506","13,716","696,982","111,372","104,158","130,393","119,917","129,189","191,468","214,755","36,753"
남 70s,202002,"306,035","126,809","73,830","77,189","39,983","39,653","26,807","6,144","331,933","59,965","52,869","74,718","71,916","82,300","104,365","104,291","19,879"
남 80s,202002,"97,163","37,972","25,483","24,840","13,087","13,805","6,886","2,260","116,840","23,570","21,380","33,978","29,460","32,791","42,379","36,601","7,430"
여 20s,202002,"739,182","206,477","148,354","192,936","98,954","100,156","64,868","17,906","835,040","78,839","88,219","109,318","97,632","89,962","126,859","171,452","38,468"
여 30s,202002,"744,215","209,409","145,483","200,372","93,638","95,176","74,264","31,435","925,833","80,277","93,191","127,361","94,291","90,674","140,911","198,950","41,236"
여 40s,202002,"774,694","254,403","196,893","237,657","122,406","120,478","93,373","31,808","1,120,982","109,179","116,470","152,702","131,381","121,862","185,155","261,512","54,023"
여 50s,202002,"767,698","295,733","216,733","254,830","117,180","121,336","102,896","20,595","1,074,164","129,922","131,980","159,766","145,461","146,359","222,598","284,786","52,530"
여 60s,202002,"616,276","264,399","161,328","171,688","80,472","86,673","67,044","13,929","706,739","112,458","104,253","131,555","123,048","128,056","195,158","217,270","37,232"
여 70s,202002,"364,478","155,157","96,034","93,318","50,383","48,055","30,264","7,369","402,465","74,457","65,426","91,484","92,531","108,308","132,809","134,350","24,226"
여 80s,202002,"158,305","69,633","47,994","48,654","24,726","25,093","14,540","4,558","209,649","44,081","41,766","63,433","59,437","72,578","87,644","82,610","15,321"
남 20s,202003,"708,309","226,598","172,592","210,732","108,166","111,224","82,384","18,371","931,276","100,115","109,948","133,530","113,943","111,969","162,456","211,964","43,152"
남 30s,202003,"742,870","217,941","155,408","212,735","96,262","102,224","82,765","29,818","977,869","87,669","103,826","146,821","99,748","100,527","159,400","215,797","42,278"
남 40s,202003,"756,706","256,450","190,600","246,360","120,278","119,063","95,711","33,758","1,153,073","115,861","124,924","173,768","140,157","140,378","201,391","277,194","57,867"
남 50s,202003,"733,576","275,969","207,180","253,334","114,688","119,193","106,761","22,164","1,103,239","136,334","139,256","177,024","154,671","167,657","237,152","295,213","57,262"
남 60s,202003,"554,890","240,502","147,659","169,942","73,694","82,589","68,942","13,813","703,738","112,366","104,968","131,277","120,418","129,811","192,374","216,114","36,950"
남 70s,202003,"307,073","127,450","74,159","77,527","40,027","39,914","26,989","6,174","333,661","60,017","52,971","75,042","72,229","82,344","104,830","104,819","19,882"
남 80s,202003,"98,132","38,358","25,688","25,034","13,211","13,899","6,971","2,285","117,876","23,735","21,509","34,142","29,603","33,119","42,631","36,898","7,487"
여 20s,202003,"742,605","206,914","148,919","192,927","99,035","100,196","64,677","17,952","839,952","78,526","88,079","109,070","97,503","89,581","125,882","170,711","38,428"
여 30s,202003,"742,159","208,720","145,088","199,530","93,157","94,738","73,873","31,417","925,000","79,969","92,841","126,696","93,732","90,202","140,017","197,939","41,095"
여 40s,202003,"771,783","253,794","196,271","236,861","122,297","120,134","93,016","31,952","1,119,740","108,783","116,155","152,381","130,963","121,358","184,332","260,649","53,979"
여 50s,202003,"766,194","294,905","216,982","254,614","117,142","121,037","102,903","20,682","1,076,074","129,540","131,806","159,467","145,086","146,018","222,010","284,485","52,587"
여 60s,202003,"619,207","265,830","162,471","173,141","81,000","87,302","67,588","14,022","713,168","113,454","104,885","132,263","123,702","128,649","196,060","218,619","37,406"
여 70s,202003,"365,565","155,714","96,425","93,569","50,470","48,260","30,344","7,389","403,905","74,378","65,436","91,625","92,709","107,893","132,811","134,638","24,251"
여 80s,202003,"159,406","70,166","48,303","48,932","24,842","25,195","14,691","4,562","211,032","44,301","41,981","63,787","59,744","73,070","88,144","83,032","15,379"
