"","year","month","sido","total"
"1",2019,1,"강원",173
"2",2019,2,"강원",178
"3",2019,3,"강원",153
"4",2019,4,"강원",171
"5",2019,5,"강원",118
"6",2019,6,"강원",114
"7",2019,7,"강원",115
"8",2019,8,"강원",133
"9",2019,9,"강원",171
"10",2019,10,"강원",190
"11",2019,11,"강원",150
"12",2019,12,"강원",202
"13",2019,1,"경기",250
"14",2019,2,"경기",244
"15",2019,3,"경기",231
"16",2019,4,"경기",284
"17",2019,5,"경기",241
"18",2019,6,"경기",246
"19",2019,7,"경기",289
"20",2019,8,"경기",252
"21",2019,9,"경기",297
"22",2019,10,"경기",280
"23",2019,11,"경기",212
"24",2019,12,"경기",226
"25",2019,1,"경남",31
"26",2019,2,"경남",30
"27",2019,3,"경남",26
"28",2019,4,"경남",35
"29",2019,5,"경남",40
"30",2019,6,"경남",30
"31",2019,7,"경남",36
"32",2019,8,"경남",22
"33",2019,9,"경남",30
"34",2019,10,"경남",36
"35",2019,11,"경남",33
"36",2019,12,"경남",22
"37",2019,1,"경북",59
"38",2019,2,"경북",43
"39",2019,3,"경북",32
"40",2019,4,"경북",44
"41",2019,5,"경북",53
"42",2019,6,"경북",56
"43",2019,7,"경북",42
"44",2019,8,"경북",51
"45",2019,9,"경북",42
"46",2019,10,"경북",57
"47",2019,11,"경북",46
"48",2019,12,"경북",32
"49",2019,1,"광주",16
"50",2019,2,"광주",17
"51",2019,3,"광주",14
"52",2019,4,"광주",14
"53",2019,5,"광주",19
"54",2019,6,"광주",23
"55",2019,7,"광주",48
"56",2019,8,"광주",18
"57",2019,9,"광주",16
"58",2019,10,"광주",11
"59",2019,11,"광주",21
"60",2019,12,"광주",7
"61",2019,1,"대구",49
"62",2019,2,"대구",46
"63",2019,3,"대구",39
"64",2019,4,"대구",38
"65",2019,5,"대구",42
"66",2019,6,"대구",45
"67",2019,7,"대구",56
"68",2019,8,"대구",54
"69",2019,9,"대구",57
"70",2019,10,"대구",58
"71",2019,11,"대구",53
"72",2019,12,"대구",54
"73",2019,1,"대전",18
"74",2019,2,"대전",31
"75",2019,3,"대전",17
"76",2019,4,"대전",22
"77",2019,5,"대전",23
"78",2019,6,"대전",30
"79",2019,7,"대전",13
"80",2019,8,"대전",31
"81",2019,9,"대전",22
"82",2019,10,"대전",21
"83",2019,11,"대전",24
"84",2019,12,"대전",20
"85",2019,1,"부산",202
"86",2019,2,"부산",194
"87",2019,3,"부산",175
"88",2019,4,"부산",208
"89",2019,5,"부산",248
"90",2019,6,"부산",234
"91",2019,7,"부산",223
"92",2019,8,"부산",224
"93",2019,9,"부산",236
"94",2019,10,"부산",225
"95",2019,11,"부산",203
"96",2019,12,"부산",194
"97",2019,1,"서울",1096
"98",2019,2,"서울",1105
"99",2019,3,"서울",1147
"100",2019,4,"서울",1137
"101",2019,5,"서울",1057
"102",2019,6,"서울",1080
"103",2019,7,"서울",1028
"104",2019,8,"서울",1019
"105",2019,9,"서울",1035
"106",2019,10,"서울",1033
"107",2019,11,"서울",978
"108",2019,12,"서울",962
"109",2019,1,"세종",6
"110",2019,2,"세종",9
"111",2019,3,"세종",3
"112",2019,4,"세종",9
"113",2019,5,"세종",8
"114",2019,6,"세종",5
"115",2019,7,"세종",5
"116",2019,8,"세종",9
"117",2019,9,"세종",4
"118",2019,10,"세종",3
"119",2019,11,"세종",2
"120",2019,12,"세종",6
"121",2019,1,"울산",25
"122",2019,2,"울산",19
"123",2019,3,"울산",4
"124",2019,4,"울산",10
"125",2019,5,"울산",21
"126",2019,6,"울산",23
"127",2019,7,"울산",20
"128",2019,8,"울산",22
"129",2019,9,"울산",19
"130",2019,10,"울산",13
"131",2019,11,"울산",19
"132",2019,12,"울산",18
"133",2019,1,"인천",124
"134",2019,2,"인천",122
"135",2019,3,"인천",88
"136",2019,4,"인천",80
"137",2019,5,"인천",110
"138",2019,6,"인천",107
"139",2019,7,"인천",113
"140",2019,8,"인천",123
"141",2019,9,"인천",117
"142",2019,10,"인천",116
"143",2019,11,"인천",101
"144",2019,12,"인천",121
"145",2019,1,"전남",14
"146",2019,2,"전남",11
"147",2019,3,"전남",4
"148",2019,4,"전남",16
"149",2019,5,"전남",15
"150",2019,6,"전남",20
"151",2019,7,"전남",19
"152",2019,8,"전남",13
"153",2019,9,"전남",16
"154",2019,10,"전남",14
"155",2019,11,"전남",6
"156",2019,12,"전남",8
"157",2019,1,"전북",17
"158",2019,2,"전북",20
"159",2019,3,"전북",13
"160",2019,4,"전북",22
"161",2019,5,"전북",29
"162",2019,6,"전북",19
"163",2019,7,"전북",26
"164",2019,8,"전북",36
"165",2019,9,"전북",33
"166",2019,10,"전북",42
"167",2019,11,"전북",19
"168",2019,12,"전북",10
"169",2019,1,"제주",89
"170",2019,2,"제주",81
"171",2019,3,"제주",89
"172",2019,4,"제주",115
"173",2019,5,"제주",106
"174",2019,6,"제주",105
"175",2019,7,"제주",119
"176",2019,8,"제주",112
"177",2019,9,"제주",122
"178",2019,10,"제주",125
"179",2019,11,"제주",108
"180",2019,12,"제주",108
"181",2019,1,"충남",21
"182",2019,2,"충남",26
"183",2019,3,"충남",9
"184",2019,4,"충남",21
"185",2019,5,"충남",20
"186",2019,6,"충남",14
"187",2019,7,"충남",28
"188",2019,8,"충남",19
"189",2019,9,"충남",16
"190",2019,10,"충남",14
"191",2019,11,"충남",13
"192",2019,12,"충남",25
"193",2019,1,"충북",21
"194",2019,2,"충북",11
"195",2019,3,"충북",12
"196",2019,4,"충북",11
"197",2019,5,"충북",12
"198",2019,6,"충북",10
"199",2019,7,"충북",17
"200",2019,8,"충북",16
"201",2019,9,"충북",6
"202",2019,10,"충북",18
"203",2019,11,"충북",11
"204",2019,12,"충북",13
